工廠,儲存地點代號,地點描述(中),地址(中),地址(英),地點描述(英),更新資訊
GTM1,1080,原料樣品倉,台中市大甲區順帆路19號-各倉樣品區 久鼎:台中市大甲區青年路137號,"19, ShunFarn Rd, Dajia District",Sample-SN,Allen Zou 鄧芳筆 -2024/03/83
GTM1,1090,客製倉,台中市大甲區順帆路19號-各倉客製區,"19, ShunFarn Rd, Dajia District",Customized-CN,Allen Zou 鄧芳筆 -2024/03/84
GTM1,10NG,不良品倉,台中市大甲區順帆路19號-各倉不良品區,"19, ShunFarn Rd, Dajia District",NG,Allen Zou 鄧芳筆 -2024/03/85
GTM1,1110,幼獅外倉1(WM),久鼎:台中市大甲區青年路137號,"137, Qingnian Rd., Dajia Dist.",Youshi WH1(WM),Allen Zou 鄧芳筆 -2024/03/86
GTM1,1120,幼獅外倉2,久鼎:台中市大甲區青年路137號,"137, Qingnian Rd., Dajia Dist.",Youshi WH2,Allen Zou 鄧芳筆 -2024/03/87
GTM1,1130,幼獅外倉2,北裕:台中市大甲區中山路二段903號,"903, Sec. 2, Zhongshan Rd., Dajia Dist.",Youshi WH2,Allen Zou 鄧芳筆 -2024/03/88
GTM1,1210,塗架Floor-保稅,台中市大甲區順帆路19號-各塗裝線,"19, ShunFarn Rd, Dajia District",Painted Frame Floor,Allen Zou 鄧芳筆 -2024/03/89
GTM1,1220,輪組Floor,台中市大甲區順帆路19號-鋼圈區,"19, ShunFarn Rd, Dajia District",Wheelset Floor,Allen Zou 鄧芳筆 -2024/03/90
GTM1,1230,車架Floor,台中市大甲區順帆路19號-AL黑身車架區,"19, ShunFarn Rd, Dajia District",Frame Floor,Allen Zou 鄧芳筆 -2024/03/91
GTM1,1241,紙箱線邊1,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 1,Allen Zou 鄧芳筆 -2024/03/92
GTM1,1242,紙箱線邊2,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 2,Allen Zou 鄧芳筆 -2024/03/93
GTM1,1243,紙箱線邊3,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 3,Allen Zou 鄧芳筆 -2024/03/94
GTM1,1244,紙箱線邊4,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 4,Allen Zou 鄧芳筆 -2024/03/95
GTM1,1245,紙箱線邊5,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 5,Allen Zou 鄧芳筆 -2024/03/96
GTM1,1246,紙箱線邊6,台中市大甲區順帆路19號-各裝配線輔材區,"19, ShunFarn Rd, Dajia District",Carton 6,Allen Zou 鄧芳筆 -2024/03/97
GTM1,1280,半成品樣品倉,台中市大甲區順帆路19號-各倉樣品區 久鼎:台中市大甲區青年路137號,"19, ShunFarn Rd, Dajia District",Semi Product-SN,Allen Zou 鄧芳筆 -2024/03/98
GTM1,1281,車架料樣品倉,台中市大甲區順帆路19號-各倉樣品區 久鼎:台中市大甲區青年路137號,"19, ShunFarn Rd, Dajia District",Frame parts-SN,Allen Zou 鄧芳筆 -2024/03/99
GTM1,1290,半成品客製倉,台中市大甲區順帆路19號-各倉客製區,"19, ShunFarn Rd, Dajia District",Semi product-CN,Allen Zou 鄧芳筆 -2024/03/100
GTM1,1310,成品暫存倉,台中市大甲區順帆路19號-內銷成品區,"19, ShunFarn Rd, Dajia District",Bike working area,Allen Zou 鄧芳筆 -2024/03/101
GTM9,1310,成品暫存倉,,,Bike working area,Allen Zou 鄧芳筆 -2024/03/102
GTM1,1320,成品自動倉,,,Bike auto area,Allen Zou 鄧芳筆 -2024/03/103
GTM1,1330,成品人工倉,,,Bike artificial area,Allen Zou 鄧芳筆 -2024/03/104
GTM1,1350,售服倉,台中市大甲區順帆路19號-內銷售服區,"19, ShunFarn Rd, Dajia District",Afterservice,Allen Zou 鄧芳筆 -2024/03/105
GTM1,1360,退貨倉,台中市大甲區順帆路19號-南倉2F退貨區&鋼圈退貨區&內銷退貨區,"19, ShunFarn Rd, Dajia District",Returned,Allen Zou 鄧芳筆 -2024/03/106
GTM9,1360,退貨倉,,,Returned,Allen Zou 鄧芳筆 -2024/03/107
GTM1,1380,成品樣品倉,台中市大甲區順帆路19號-內銷樣品區,"19, ShunFarn Rd, Dajia District",Sample bike,Allen Zou 鄧芳筆 -2024/03/108
GTM1,1390,成品客製倉,台中市大甲區順帆路19號-內銷客製區,"19, ShunFarn Rd, Dajia District",Customized bike,Allen Zou 鄧芳筆 -2024/03/109
GTM1,1510,GBD 物流內倉(WM),台中市大甲區中山路2段901號,"901, Sec. 2, Zhongshan Rd., Dajia Dist.",GBD (WM),Allen Zou 鄧芳筆 -2024/03/110
GTM1,1540,GBD 辦公室,台中市西屯區東大路一段999號,"No.999, Sec. 1, Dongda Rd. Xitun Dist., Taichung City 40763 Taiwan (R.O.C.)",GBD office,Allen Zou 鄧芳筆 -2024/03/111
GTM1,1550,GBD 東倉,台中市大甲區順帆路19號-東倉,"19, ShunFarn Rd, Dajia District",GBD East WH,Allen Zou 鄧芳筆 -2024/03/112
GTM1,1560,GBD-GTS物流倉,台中市大甲區中山路2段901號,"901, Sec. 2, Zhongshan Rd., Dajia Dist.",GBD-GTS,Allen Zou 鄧芳筆 -2024/03/113
GTM1,1610,GI 物流內倉(WM),台中市大甲區中山路2段901號,"901, Sec. 2, Zhongshan Rd., Dajia Dist.",GI (WM),Allen Zou 鄧芳筆 -2024/03/114
GTM1,1710,AIP倉,,,AIP,Allen Zou 鄧芳筆 -2024/03/115
GTM1,1810,工具室,台中市大甲區順帆路19號-工具室,"19, ShunFarn Rd, Dajia District",Tools Room,Allen Zou 鄧芳筆 -2024/03/116
GTM1,1910,進口在途,,,Onway,Allen Zou 鄧芳筆 -2024/03/117
GTM1,1920,三角貿易倉-GBD,,,Tri-trade GBD,Allen Zou 鄧芳筆 -2024/03/118
